Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Dejan Kulusevski,Midfielder,36,,,62,53%,,26,18,1,1,,133,152,240,54,7,15,,0,3,"1,132",31.44,14,89,25%,12,16,7,0,54,10,8,1,3,4,1,0.22,0,0,57,24,42%,4,,,,,,,,
Garang Kuol,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Layvin Kurzawa,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Levi Laing,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Adam Lallana,Midfielder,25,,,8,38%,,3,3,1,1,,22,25,44,3,3,5,,0,1,499,19.96,2,7,29%,3,3,2,0,8,2,0,0,0,0,0,0.00,0,0,11,2,18%,0,,,,,,,,
Tariq Lamptey,Defender,19,0,20,21,67%,0,4,6,5,3,1,32,49,38,6,4,9,0,0,3,371,19.53,1,31,29%,0,7,3,0,11,3,0,0,0,0,0,,,,,,,,,,,,,,,
Will Lankshear,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Manuel Lanzini,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Aymeric Laporte,Defender,1,0,0,0,0%,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,11,11.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Yasser Larouci,Defender,11,0,11,17,53%,0,2,7,20,10,0,34,33,25,10,1,4,0,0,0,165,15.00,1,6,0%,0,2,1,0,5,1,0,0,0,0,0,,,,,,,,,,,,,,,
Richie Laryea,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jamaal Lascelles,Defender,16,5,15,14,64%,0,1,5,42,26,0,53,64,51,1,47,26,0,0,0,769,48.06,0,1,0%,0,14,4,0,17,1,1,1,0,0,0,,,,,,,,,,,,,,,
Roméo Lavia,Midfielder,1,,,1,0%,,0,0,1,0,,0,2,1,0,0,0,,0,0,27,27.00,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Dexter Lembikisa,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Clément Lenglet,Defender,14,2,27,13,69%,0,3,7,47,27,0,37,43,25,3,15,11,0,0,1,910,65.00,1,3,0%,0,51,3,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,
Bernd Leno,Goalkeeper,38,10,61,,,,,,,,,,,,,,,1,1,0,"1,406",37.00,,,,,176,3,0,0,,0,,,,,,,,,,,,134,0,18,16,8,19,167,201
Marc Leonard,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jefferson Lerma,Midfielder,28,,,42,60%,,5,36,64,37,,174,147,116,11,69,36,,0,1,"1,225",43.75,3,14,21%,8,40,8,0,43,4,1,0,1,0,3,0.04,0,0,34,9,26%,2,,,,,,,,
Marcel Lewis,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lewis Miley,Midfielder,17,,,33,64%,,7,8,16,5,,78,58,52,8,11,12,,0,3,524,30.82,3,11,18%,4,18,1,0,5,2,1,0,1,0,0,0.06,0,0,13,3,23%,1,,,,,,,,
Keane Lewis-Potter,Forward,30,,,17,,,10,7,20,9,,,,,,,,,,1,358,11.93,3,50,,,,0,0,9,3,3,1,1,1,2,0.10,0,0,43,22,51%,12,,,,,,,,
Myles Lewis-Skelly,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Victor Lindelöf,Defender,19,4,16,15,67%,0,0,12,38,24,0,75,35,50,1,17,26,0,0,1,876,46.11,0,1,0%,2,26,2,0,15,3,1,0,1,0,0,,,,,,,,,,,,,,,
Jesse Lingard,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lisandro Martínez,Defender,11,0,12,12,67%,0,0,5,23,8,1,33,21,22,2,4,5,1,0,1,442,40.18,0,2,0%,1,10,3,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tino Livramento,Defender,26,1,27,23,57%,0,2,25,37,17,1,85,80,48,17,12,8,0,0,0,675,25.96,1,26,19%,0,13,1,0,3,1,1,0,1,0,0,,,,,,,,,,,,,,,
Hugo Lloris,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Giovani Lo Celso,Midfielder,22,,,22,59%,,4,5,2,1,,46,57,32,8,1,5,,0,2,483,21.95,1,13,38%,2,18,2,0,12,1,2,0,0,2,1,0.09,0,0,13,6,46%,0,,,,,,,,
Tom Lockyer,Defender,14,0,23,25,64%,1,1,23,66,31,0,89,70,42,4,31,17,1,0,1,418,29.86,1,1,0%,1,45,4,0,15,0,1,0,0,1,0,,,,,,,,,,,,,,,
Ruben Loftus-Cheek,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Andy Lonergan,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Sean Longstaff,Midfielder,35,,,54,56%,,14,17,22,16,,120,117,130,11,19,22,,0,2,"1,209",34.54,5,25,32%,8,44,7,0,24,2,6,0,5,1,0,0.17,0,0,41,15,37%,7,,,,,,,,
Jamal Lowe,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lucas Moura,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lucas Paquetá,Midfielder,31,,,71,68%,,5,21,25,20,,194,237,239,41,61,60,,0,6,"1,411",45.52,12,35,29%,30,70,10,0,47,5,4,0,0,4,2,0.13,2,0,42,11,26%,3,,,,,,,,
Luizão,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Romelu Lukaku,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jayden Luker,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Sasa Lukic,Midfielder,24,,,33,58%,,5,16,18,9,,65,58,69,5,11,8,,0,0,489,20.38,0,4,0%,4,11,3,0,27,0,1,0,0,1,0,0.04,0,0,13,3,23%,2,,,,,,,,
Lyle Taylor,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ian Maatsen,Defender,12,0,5,3,67%,0,3,3,9,5,0,11,7,25,0,3,5,0,0,0,119,9.92,0,8,25%,1,2,1,0,5,0,0,0,0,0,1,,,,,,,,,,,,,,,
Alexis Mac Allister,Midfielder,33,,,99,56%,,19,35,25,15,,195,195,193,18,31,29,,1,5,"1,927",58.39,3,32,31%,14,61,7,1,53,0,5,1,4,0,1,0.15,1,0,44,9,20%,2,,,,,,,,
Matt Macey,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
James Maddison,Midfielder,28,,,33,58%,,19,13,8,3,,60,142,108,32,3,6,,0,9,"1,346",48.07,11,133,17%,14,43,5,0,21,2,4,0,3,1,0,0.14,0,0,58,23,40%,4,,,,,,,,
Noni Madueke,Forward,23,,,16,,,10,4,12,7,,,,,,,,,,2,454,19.74,2,22,,,,2,0,8,3,5,1,1,3,1,0.22,1,0,32,13,41%,0,,,,,,,,
Paris Maghoma,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Harry Maguire,Defender,22,4,29,24,71%,0,5,25,83,54,0,78,103,53,0,69,19,0,0,2,"1,096",49.82,2,3,33%,0,73,4,0,21,6,2,1,0,1,0,,,,,,,,,,,,,,,
Riyad Mahrez,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kobbie Mainoo,Midfielder,24,,,47,57%,,3,22,27,15,,96,120,109,31,19,26,,1,1,862,35.92,0,6,17%,8,21,3,0,15,0,3,0,3,0,0,0.13,0,0,11,5,45%,0,,,,,,,,
Ainsley Maitland-Niles,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyrell Malacia,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Orel Mangala,Midfielder,20,,,27,48%,,1,26,28,11,,74,70,72,13,10,4,,0,0,642,32.10,0,2,50%,1,23,6,0,23,0,1,0,1,0,0,0.05,0,0,10,1,10%,1,,,,,,,,
Javier Manquillo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Manuel Benson,Forward,8,,,3,,,0,0,0,0,,,,,,,,,,0,47,5.88,0,9,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,4,2,50%,0,,,,,,,,
Marcelo Pitaluga,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Solly March,Midfielder,7,,,19,74%,,6,11,8,3,,36,41,40,8,6,4,,0,1,221,31.57,2,21,33%,1,4,1,0,12,7,3,1,0,2,0,0.43,0,0,14,6,43%,1,,,,,,,,
Emiliano Marcondes,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Mario Lemina,Midfielder,35,,,90,64%,,14,41,56,28,,199,174,146,25,35,42,,0,1,"1,439",41.11,3,15,27%,8,59,10,1,43,8,4,3,1,0,1,0.11,0,0,48,18,38%,4,,,,,,,,
Finley Marjoram,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Marquinhos,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Filip Marschall,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Zach Marsh,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Callum Marshall,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Anthony Martial,Forward,13,,,4,,,1,0,3,2,,,,,,,,,,0,137,10.54,0,0,,,,0,0,3,3,1,0,1,0,0,0.08,0,0,6,4,67%,0,,,,,,,,
Han-Noah Massengo,Midfielder,3,0,0,1,100%,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,9,3.00,0,2,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Arthur Masuaku,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mateo Mejia,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jean-Philippe Mateta,Forward,35,,,22,,,7,4,14,11,,,,,,,,,,5,413,11.80,5,20,,,,3,0,35,24,16,1,12,3,0,0.46,2,0,46,29,63%,7,,,,,,,,
Matheus Cunha,Forward,32,,,30,,,15,13,20,10,,,,,,,,,,7,786,24.56,7,24,,,,9,0,31,4,12,2,9,1,3,0.38,1,0,73,38,52%,6,,,,,,,,
Matheus França,Forward,10,,,3,100%,,2,1,1,0,,17,10,33,4,1,5,,0,1,65,6.50,1,14,21%,0,3,1,0,6,2,0,0,0,0,0,0.00,0,0,8,2,25%,0,,,,,,,,
Matheus Nunes,Midfielder,19,,,13,38%,,2,7,9,6,,40,63,66,20,7,9,,1,2,522,27.47,2,22,32%,1,4,0,1,9,5,0,0,0,0,1,0.00,0,0,10,4,40%,2,,,,,,,,
Roshaun Mathurin,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Joël Matip,Defender,10,2,9,12,50%,0,1,9,41,26,0,58,43,27,0,28,10,1,0,0,563,56.30,0,0,0%,0,16,2,0,7,1,0,0,0,0,0,,,,,,,,,,,,,,,
Alex Matos,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Matthew Craig,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Remi Matthews,Goalkeeper,1,0,1,,,,,,,,,,,,,,,0,0,0,5,5.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,1,0,0,0,1
Matty Longstaff,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Neal Maupay,Forward,31,,,10,,,12,2,4,3,,,,,,,,,,3,398,12.84,5,8,,,,8,0,20,6,6,1,3,2,1,0.19,0,0,42,20,48%,7,,,,,,,,
Mauro Bandeira,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Konstantinos Mavropanos,Defender,19,3,27,28,57%,2,1,23,78,31,0,70,84,44,2,44,24,2,2,0,627,33.00,0,1,0%,1,40,2,0,15,0,1,1,0,0,0,,,,,,,,,,,,,,,
Adrian Mazilu,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kevin Mbabu,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Loïc Mbe Soh,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Bryan Mbeumo,Midfielder,25,,,15,67%,,11,7,12,8,,93,106,160,26,23,45,,0,6,650,26.00,6,92,32%,15,17,2,0,22,3,9,0,1,8,3,0.36,3,0,53,20,38%,9,,,,,,,,
Sean McAllister,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
James McArthur,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
John McAtee,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Oliver McBurnie,Forward,21,,,17,,,6,5,28,26,,,,,,,,,,3,398,18.95,3,5,,,,3,2,19,4,6,1,4,1,2,0.29,2,0,33,17,52%,7,,,,,,,,
James McConnell,Midfielder,3,,,0,0%,,0,1,0,0,,0,1,1,0,0,0,,0,0,6,2.00,0,0,0%,0,1,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Delano McCoy-Splatt,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jamie McDonnell,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Callum McFarlane,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tom McGill,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
John McGinn,Midfielder,35,,,59,59%,,11,21,18,9,,161,191,191,54,9,19,,0,4,"1,142",32.63,10,74,34%,15,73,9,1,39,2,6,0,3,3,0,0.17,0,1,40,16,40%,3,,,,,,,,
Callan McKenna,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Luke McNally,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Dwight McNeil,Forward,35,,,44,,,20,22,27,15,,,,,,,,,,6,"1,001",28.60,17,229,,,,2,0,18,4,3,0,0,3,3,0.09,0,0,57,15,26%,3,,,,,,,,
Charlie McNeill,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Scott McTominay,Midfielder,32,,,49,51%,,11,14,54,32,,91,114,115,8,38,44,,0,1,643,20.09,2,4,0%,2,18,2,0,29,6,7,4,2,1,0,0.22,0,0,44,19,43%,6,,,,,,,,
Ben Mee,Defender,16,1,26,26,58%,0,4,13,57,34,1,67,67,54,3,35,32,0,0,0,605,37.81,0,5,60%,0,36,1,1,7,1,2,2,0,0,0,,,,,,,,,,,,,,,
Hannibal Mejbri,Midfielder,5,,,3,100%,,0,0,0,0,,10,13,16,2,2,4,,0,0,37,7.40,0,1,0%,2,2,1,0,5,1,1,0,1,0,0,0.20,0,0,1,1,100%,0,,,,,,,,
Édouard Mendy,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Teden Mengi,Defender,30,1,59,54,41%,1,0,57,136,67,2,126,128,95,7,60,43,0,0,0,925,30.83,0,2,0%,1,70,3,0,35,1,1,0,1,0,0,,,,,,,,,,,,,,,
Chris Mepham,Defender,10,0,16,12,92%,0,0,7,29,18,0,31,43,42,0,30,20,0,0,1,354,35.40,1,1,0%,0,25,2,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,
Max Merrick,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Jenson Metcalfe,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alex Mighten,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Luka Milivojevic,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Stanley Mills,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
James Milner,Midfielder,15,,,20,70%,,2,8,13,5,,45,33,38,3,6,13,,0,2,500,33.33,2,29,28%,4,19,3,0,10,3,0,0,0,0,1,0.00,0,0,5,1,20%,0,,,,,,,,
Yerry Mina,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tyrone Mings,Defender,1,0,2,0,0%,0,1,1,1,0,0,2,1,0,0,1,0,0,0,0,5,5.00,0,0,0%,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Yankuba Minteh,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyrick Mitchell,Defender,37,10,55,105,57%,1,4,25,87,30,2,208,160,108,18,21,26,0,0,3,"1,205",32.57,5,69,25%,1,35,6,0,22,1,2,0,0,2,0,,,,,,,,,,,,,,,
Kaoru Mitoma,Midfielder,19,,,13,,,8,5,11,4,,,,,,,,,,4,597,31.42,6,44,,,,4,0,14,7,3,1,2,0,0,0.16,0,0,34,15,44%,6,,,,,,,,
Aleksandar Mitrovic,Forward,1,,,0,,,1,0,0,0,,,,,,,,,,0,8,8.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,2,1,50%,0,,,,,,,,
Jakub Moder,Midfielder,17,,,19,53%,,4,2,12,5,,40,33,33,6,3,5,,0,0,289,17.00,2,6,0%,1,3,2,0,8,2,0,0,0,0,0,0.00,0,0,11,3,27%,1,,,,,,,,
Mohamed Elneny,Midfielder,3,,,0,0%,,0,1,0,0,,2,1,3,0,1,1,,0,0,40,13.33,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,2,1,50%,0,,,,,,,,
Mohamed Salah,Forward,32,,,17,,,24,2,1,1,,,,,,,,,,10,935,29.22,22,41,,,,2,0,12,17,18,2,2,14,2,0.56,5,0,114,56,49%,17,,,,,,,,
Moisés Caicedo,Midfielder,35,,,91,51%,,5,37,33,16,,200,196,153,26,31,32,,1,3,"2,097",59.91,4,10,0%,12,88,11,0,50,0,1,0,1,0,0,0.03,0,0,13,4,31%,0,,,,,,,,
Gonzalo Montiel,Defender,14,0,11,22,86%,0,2,9,30,20,0,42,36,30,1,12,9,0,1,2,318,22.71,4,16,6%,1,14,5,0,6,2,0,0,0,0,0,,,,,,,,,,,,,,,
Kieffer Moore,Forward,8,,,0,,,1,0,0,0,,,,,,,,,,0,40,5.00,1,2,,,,0,0,5,0,1,1,0,0,0,0.13,0,0,6,2,33%,2,,,,,,,,
Andrew Moran,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Álex Moreno,Defender,21,2,20,18,67%,0,1,13,33,18,0,40,53,50,15,4,10,1,0,0,407,19.38,1,37,11%,0,13,2,0,11,2,2,1,0,1,0,,,,,,,,,,,,,,,
Carlton Morris,Forward,38,,,15,,,12,1,53,42,,,,,,,,,,4,718,18.89,5,15,,,,4,0,49,9,11,2,9,0,4,0.29,5,0,71,31,44%,7,,,,,,,,
Tyler Morton,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Yerson Mosquera,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Louie Moulden,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Mason Mount,Midfielder,14,,,22,64%,,3,6,3,1,,37,41,41,4,6,9,,0,0,203,14.50,0,14,29%,1,6,2,0,10,0,1,0,0,1,0,0.07,0,0,5,1,20%,0,,,,,,,,
Pelly Ruddock Mpanzu,Midfielder,27,,,13,38%,,4,9,16,10,,54,48,54,9,12,19,,2,0,343,12.70,1,11,27%,0,16,1,0,9,0,0,0,0,0,0,0.00,0,0,11,1,9%,1,,,,,,,,
Fabian Mrozek,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
